skill_id,problem_ids,primary_problem_id,current_role,target_role,target_owner,overlap_with,unique_assets,routing_change,delete_allowed_after_migration,risk_level,rationale
alphafold-database,protein_structure_evidence,protein_structure_evidence,stage_assistant,stage-assistant,esm,pdb-database; esm,scripts=0; references=1; assets=0,"keep as evidence assistant for predicted protein structures, not a broad route authority",False,low,Structure evidence supports protein workflows but does not own the main task.
anndata,single_cell_data_container,single_cell_data_container,stage_assistant,stage-assistant,scanpy,scanpy; scvi-tools; cellxgene-census,scripts=0; references=5; assets=0,"keep as stage assistant for AnnData/h5ad containers, not a broad route authority",False,low,AnnData is a data structure layer used inside single-cell workflows.
biopython,sequence_io_entrez,sequence_io_entrez,route_authority,keep,,gget; pysam; database assistants,scripts=0; references=7; assets=0,"keep as planning/coding default only for sequence IO, FASTA, GenBank, SeqIO, Entrez, and sequence conversion",False,medium,"Biopython is broad and useful, but negative routing boundaries must stop it from swallowing single-cell, DESeq2, BAM/VCF, ESM, COBRApy, and flow cytometry prompts."
bioservices,cross_database_aggregation,cross_database_aggregation,stage_assistant,stage-assistant,database-assistant,kegg-database; reactome-database; uniprot-like services,scripts=4; references=3; assets=0,"keep as cross-database stage assistant, not a broad route authority",False,medium,Cross-service lookup is valuable but must not override a more specific workflow owner.
cellxgene-census,single_cell_reference_evidence,single_cell_reference_evidence,stage_assistant,stage-assistant,scanpy,scanpy; anndata,scripts=0; references=2; assets=0,"keep as single-cell reference evidence assistant, not a broad route authority",False,low,Cellxgene Census supports single-cell reference lookup inside scanpy workflows.
clinvar-database,variant_clinical_evidence,variant_clinical_evidence,stage_assistant,stage-assistant,pysam,cosmic-database; gwas-database,scripts=0; references=3; assets=0,"keep as clinical variant evidence assistant, not a broad route authority",False,low,ClinVar lookup is evidence retrieval inside a variant interpretation workflow.
cosmic-database,cancer_variant_evidence,cancer_variant_evidence,stage_assistant,stage-assistant,pysam,clinvar-database; gwas-database,scripts=1; references=1; assets=0,"keep as cancer variant evidence assistant, not a broad route authority",False,low,COSMIC is supporting evidence for cancer variant work.
deeptools,genomics_track_processing,genomics_track_processing,stage_assistant,stage-assistant,pysam,pysam,scripts=2; references=4; assets=1,"keep as stage assistant for genomics signal/track processing, not a broad route authority",False,medium,deepTools is a genomics processing helper with a narrower route surface than pysam.
ensembl-database,ensembl_annotation_evidence,ensembl_annotation_evidence,stage_assistant,stage-assistant,gget,gget; gene-database,scripts=1; references=1; assets=0,"keep as Ensembl evidence assistant, not a broad route authority",False,low,Ensembl lookup should support gget and sequence workflows.
gene-database,gene_annotation_evidence,gene_annotation_evidence,stage_assistant,stage-assistant,gget,ensembl-database; opentargets-database,scripts=3; references=2; assets=0,"keep as gene evidence assistant, not a broad route authority",False,low,Gene lookup supports annotation but should not own whole workflows.
gget,gene_symbol_lookup,gene_symbol_lookup,route_authority,keep,,biopython; bioservices; ensembl-database; gene-database,scripts=3; references=3; assets=0,"keep as route authority for quick gene, transcript, Ensembl, BLAST, and symbol lookup",False,low,Quick lookup is a separate user intent from full single-cell or differential-expression workflows.
gwas-database,gwas_trait_evidence,gwas_trait_evidence,stage_assistant,stage-assistant,gget,clinvar-database; opentargets-database,scripts=0; references=1; assets=0,"keep as GWAS evidence assistant, not a broad route authority",False,low,GWAS evidence is supporting context for genetics workflows.
kegg-database,pathway_metabolism_evidence,pathway_metabolism_evidence,stage_assistant,stage-assistant,cobrapy,reactome-database; bioservices,scripts=1; references=1; assets=0,"keep as pathway evidence assistant, not a broad route authority",False,low,KEGG is useful evidence for pathway and metabolism workflows.
opentargets-database,target_disease_evidence,target_disease_evidence,stage_assistant,stage-assistant,gget,gene-database; gwas-database,scripts=1; references=3; assets=0,"keep as target-disease evidence assistant, not a broad route authority",False,low,"OpenTargets supports target evidence, not the main computational workflow."
pdb-database,protein_structure_evidence,protein_structure_evidence,stage_assistant,stage-assistant,esm,alphafold-database; string-database,scripts=0; references=1; assets=0,"keep as protein structure evidence assistant, not a broad route authority",False,low,PDB lookup supports structural interpretation but is not the primary route for protein embeddings.
pydeseq2,bulk_rnaseq_differential_expression,bulk_rnaseq_differential_expression,route_authority,keep,,scanpy; statistical-analysis,scripts=1; references=2; assets=0,"keep as route authority for bulk RNA-seq differential expression, DESeq2-style statistics, MA plots, and volcano plots",False,low,Bulk RNA-seq differential expression must not be absorbed by scanpy or biopython.
pysam,alignment_variant_files,alignment_variant_files,route_authority,keep,,biopython; tiledbvcf,scripts=0; references=4; assets=0,"keep as route authority for BAM/SAM/CRAM/VCF parsing, pileup, coverage, and variant-file handling",False,low,Alignment and variant files are concrete coding/research tasks with a dedicated Python owner.
reactome-database,pathway_evidence,pathway_evidence,stage_assistant,stage-assistant,cobrapy,kegg-database; bioservices,scripts=1; references=1; assets=0,"keep as pathway evidence assistant, not a broad route authority",False,low,Reactome supports pathway interpretation inside larger workflows.
scanpy,single_cell_rnaseq,single_cell_rnaseq,route_authority,keep,,anndata; scvi-tools; cellxgene-census; pydeseq2,scripts=1; references=3; assets=1,"keep as route authority for single-cell RNA-seq clustering, annotation, marker genes, and h5ad/10X workflows",False,low,Single-cell RNA-seq is a distinct high-value user problem and scanpy is the clearest owner.
scvi-tools,single_cell_latent_models,single_cell_latent_models,stage_assistant,stage-assistant,scanpy,scanpy; anndata,scripts=0; references=8; assets=0,"keep as stage assistant for scVI-style modeling, not a broad route authority",False,medium,scVI is useful inside single-cell workflows but should not absorb broad single-cell prompts in the first split.
arboreto,gene_regulatory_networks,gene_regulatory_networks,route_authority,keep,,scanpy; geniml,scripts=1; references=3; assets=0,"keep as route authority for pySCENIC, GRN, gene regulatory network, and transcription-factor network tasks",False,low,Gene regulatory network inference is distinct from ordinary single-cell clustering.
cobrapy,metabolic_flux_modeling,metabolic_flux_modeling,route_authority,keep,,kegg-database; reactome-database; bioservices,scripts=0; references=2; assets=0,"keep as route authority for COBRApy, FBA, flux balance, and constraint-based metabolic models",False,low,"Metabolic flux modeling is a problem owner, not a generic pathway lookup."
esm,protein_language_models,protein_language_models,route_authority,keep,,alphafold-database; pdb-database; string-database,scripts=0; references=4; assets=0,"keep as route authority for ESM, protein language models, and protein embeddings",False,low,Protein embedding tasks are bio-ML tasks and should not be routed to generic sequence handling.
flowio,flow_cytometry_fcs_io,flow_cytometry_fcs_io,route_authority,keep,,anndata,scripts=0; references=1; assets=0,keep as route authority for FCS and flow cytometry channel matrix handling,False,low,FCS/flow cytometry file IO is a specific task that should not fall back to biopython.
geniml,genomic_ml_embeddings,genomic_ml_embeddings,route_authority,keep,,esm; data-ml,scripts=0; references=5; assets=0,keep as route authority for genomic ML and genome embedding tasks,False,low,Genome embeddings are a bio-specific ML surface and need a precise owner.
string-database,protein_interaction_evidence,protein_interaction_evidence,stage_assistant,stage-assistant,esm,pdb-database; alphafold-database,scripts=1; references=1; assets=0,"keep as protein interaction evidence assistant, not a broad route authority",False,low,STRING lookup is supporting evidence for protein workflows.
